part_number,car_name,description,note,folder_name,status
11-450,8PA) 2008-2012,CARAV 11-450: 2 DIN / 173 x 98 mm / 178 x 102 mm / AUDI A3 (8P /       with Symphony OEM-Radio) 2003-2008; A3 (8P/8PA) 2008-2012,Note: Black color,8PA)_2008-2012,OK
11-457,SEAT Exeo 2009-2013,"CARAV 11-457: 2 DIN / 173 x 98 mm / AUDI A4 (B6) 2000-2006, A4       (B7) 2004-2009 / SEAT Exeo 2009-2013",Note: Black color,SEAT_Exeo_2009-2013,OK
11-011,BMW         3-Series (E46) 1998-2005,CARAV 11-011: 1 DIN / 173 x 51 mm / BMW         3-Series (E46) 1998-2005,Note: Black color,BMW_3-Series_(E46)_1998-2005,OK
22-498,BMW 3-Series (E46) 1998-2005,"CARAV 22-498: 9"" / 230:220 x 130 mm /         BMW 3-Series (E46) 1998-2005",Note: Black color,BMW_3-Series_(E46)_1998-2005,OK
11-481,"BMW 1-Series (E81, 82, 87,       88) 2007-2011","CARAV 11-481: 2 DIN / 173 x 98 mm / BMW 1-Series (E81, 82, 87,       88) 2007-2011",Note: Black color / acceptable for the vehicles with Auto Air-Conditioning only,"BMW_1-Series_(E81,_82,_87,_88)_2007-2011",OK
22-181,HOLDEN Barina (TM) 2011+,"CARAV 22-181: 9"" / 230:220 x 130 mm / CHEVROLET Aveo, Sonic         2011+ / HOLDEN Barina (TM) 2011+",Note: Dark Grey color,HOLDEN_Barina_(TM)_2011+,OK
22-407,CHEVROLET Cruze 2009+,"CARAV 22-407: 9"" / 230:220 x 130 mm / CHEVROLET Cruze 2009+",Note: Black color,CHEVROLET_Cruze_2009+,OK
22-180,RAVON R2 2016+,"CARAV 22-180: 9"" / 230:220 x 130 mm / CHEVROLET Spark (M300)         2010-2013 / DAEWOO Matiz Creative (M300) 2009-2011 / HOLDEN Barina         Spark (MJ) 2010-2012 / RAVON R2 2016+",Note: Black color,RAVON_R2_2016+,OK
22-275,MAZDA BT-50 2006-2011,"CARAV 22-275: 9"" / 230:220 x 130 mm / FORD Ranger 2006-2011,         Everest 2006-2013 / MAZDA BT-50 2006-2011",Note: Silver color,MAZDA_BT-50_2006-2011,OK
22-630,FORD Focus 2005-2011,"CARAV 22-630: 9"" / 230:220 x 130 mm / FORD Focus 2005-2011",Note: Silver color / acceptable for the vehicles with Manual Air-Conditioning only,FORD_Focus_2005-2011,OK
