make,model,year_range,skus,search_query,images_saved,image_files,status,folder
ALFA,MITO,2008,YE-AR004 (11-365),2008 ALFA MITO dashboard interior OEM,5,dashboard_01_155946bf.jpg; dashboard_02_7a5f91b8.jpg; dashboard_03_9a511b00.jpg; dashboard_04_44e0127f.jpg; dashboard_05_b3e4af9e.jpg,SUCCESS,dashboards/ALFA/MITO_2008
AUDI,A3,1996-1999,PZ-25108 (11-003),1996 AUDI A3 dashboard interior OEM,5,dashboard_01_e24d173c.jpg; dashboard_02_d64fc562.jpg; dashboard_03_9a432cb3.jpg; dashboard_04_0b879634.jpg; dashboard_05_62a536a7.jpg,SUCCESS,dashboards/AUDI/A3_1996-1999
AUDI,A3,2002-2008,FEA826 (11-450),2002 AUDI A3 dashboard interior OEM,5,dashboard_01_0ac39628.jpg; dashboard_02_65398263.jpg; dashboard_03_600eea83.jpg; dashboard_04_9a432cb3.jpg; dashboard_05_e0f5a609.jpg,SUCCESS,dashboards/AUDI/A3_2002-2008
AUDI,A3,2003-2008,PZ-25115 (11-007),2003 AUDI A3 dashboard interior OEM,5,dashboard_01_0ac39628.jpg; dashboard_02_65398263.jpg; dashboard_03_f0dd7bb5.jpg; dashboard_04_9a432cb3.jpg; dashboard_05_600eea83.jpg,SUCCESS,dashboards/AUDI/A3_2003-2008
AUDI,A3,2012,"AJ-AD-006 (11-450 9""); PZ-25116 (11-450 9"")",2012 AUDI A3 dashboard interior OEM,5,dashboard_01_d88e2181.jpg; dashboard_02_83e87a70.jpg; dashboard_03_5a62a44e.jpg; dashboard_04_e05c2ebe.jpg; dashboard_05_33a506d7.jpg,SUCCESS,dashboards/AUDI/A3_2012
AUDI,A4,2002-2008,"AJ-AD-TK0827 (11-457 9"")",2002 AUDI A4 dashboard interior OEM,5,dashboard_01_53064c1c.jpg; dashboard_02_56b0d9c3.jpg; dashboard_03_d77ade72.jpg; dashboard_04_adadfb2b.jpg; dashboard_05_0cef18f2.jpg,SUCCESS,dashboards/AUDI/A4_2002-2008
AUDI,A4,2008,"FEA827 (11-457 9"")",2008 AUDI A4 dashboard interior OEM,5,dashboard_01_0bf83e30.jpg; dashboard_02_b620f663.jpg; dashboard_03_214da27e.jpg; dashboard_04_3a2ba475.jpg; dashboard_05_2dabdfd4.jpg,SUCCESS,dashboards/AUDI/A4_2008
AUDI,A4 A6 TT,1999-2002,PZ-25112 (11-005),1999 AUDI A4 A6 TT dashboard interior OEM,5,dashboard_01_835760b0.jpg; dashboard_02_88982c4b.jpg; dashboard_03_57b9aab7.jpg; dashboard_04_1ca977ce.jpg; dashboard_05_ffe7ccc9.jpg,SUCCESS,dashboards/AUDI/A4_A6_TT_1999-2002
AUDI,A4 B6 2000-2006,2004-2006,FA-AUDI A4/B6 (11-457),2004 AUDI A4 B6 2000-2006 dashboard interior OEM,5,dashboard_01_27d66d66.jpg; dashboard_02_53064c1c.jpg; dashboard_03_101ff1c8.jpg; dashboard_04_73552624.jpg; dashboard_05_62adb34a.jpg,SUCCESS,dashboards/AUDI/A4_B6_2000-2006_2004-2006
AUDI,TT,2006,FEA0022; FEA828,2006 AUDI TT dashboard interior OEM,5,dashboard_01_de6a0c97.jpg; dashboard_02_d810fbfc.jpg; dashboard_03_d2c69f3a.jpg; dashboard_04_b29d4d21.jpg; dashboard_05_d34137de.jpg,SUCCESS,dashboards/AUDI/TT_2006
BMW,1 SERIES E81/E82/E87/E88,2004-2011,AJ-BMW-TK1011 (11-481),2004 BMW 1 SERIES E81/E82/E87/E88 dashboard interior OEM,5,dashboard_01_65b86815.jpg; dashboard_02_49910ee6.jpg; dashboard_03_30fc293d.jpg; dashboard_04_bb093cff.jpg; dashboard_05_365979c3.jpg,SUCCESS,dashboards/BMW/1_SERIES_E81E82E87E88_2004-2011
BMW,1 SERIES E81/E82/E87/E88,2012,AJ-BMW-TK1012 (11-481),2012 BMW 1 SERIES E81/E82/E87/E88 dashboard interior OEM,5,dashboard_01_c6396a78.jpg; dashboard_02_a742767d.jpg; dashboard_03_7f27d8a5.jpg; dashboard_04_026753ec.jpg; dashboard_05_3093a20b.jpg,SUCCESS,dashboards/BMW/1_SERIES_E81E82E87E88_2012
BMW,E46,1998-2005,PZ-22004 (11-011); AS-BMWE46 (11-011),1998 BMW E46 dashboard interior OEM,5,dashboard_01_77dfb581.jpg; dashboard_02_a7500f11.jpg; dashboard_03_3b9e508e.jpg; dashboard_04_8f95d029.jpg; dashboard_05_1c38d95f.jpg,SUCCESS,dashboards/BMW/E46_1998-2005
BMW,E46,2005,AJ-BMW-001 (22-498); FEA009 (22-498),2005 BMW E46 dashboard interior OEM,5,dashboard_01_1c38d95f.jpg; dashboard_02_8dceed4f.jpg; dashboard_03_af8b725d.jpg; dashboard_04_64cbea6a.jpg; dashboard_05_df85313f.jpg,SUCCESS,dashboards/BMW/E46_2005
BMW,E90,2004-2012,PZ-22160 (11-052),2004 BMW E90 dashboard interior OEM,5,dashboard_01_31350b23.jpg; dashboard_02_daa6d71b.jpg; dashboard_03_a21bf8b9.jpg; dashboard_04_6f4436e2.jpg; dashboard_05_5900ff58.jpg,SUCCESS,dashboards/BMW/E90_2004-2012
BMW,E90,2012,FEA010 (22-125),2012 BMW E90 dashboard interior OEM,5,dashboard_01_ed2957bf.jpg; dashboard_02_eba25065.jpg; dashboard_03_5900ff58.jpg; dashboard_04_199085ee.jpg; dashboard_05_dd402f6b.jpg,SUCCESS,dashboards/BMW/E90_2012
BMW,X5 / 5-SERIES 1995-2003,1999-2006,FEA012 (22-041),1999 BMW X5 / 5-SERIES 1995-2003 dashboard interior OEM,5,dashboard_01_9096543a.jpg; dashboard_02_0e78ecd5.jpg; dashboard_03_36a06c0b.jpg; dashboard_04_ec3d7103.jpg; dashboard_05_43db7705.jpg,SUCCESS,dashboards/BMW/X5_5-SERIES_1995-2003_1999-2006
CHEVROLET,AVEO,2011-2013,AJ-CHV-TK0243A (22-181),2011 CHEVROLET AVEO dashboard interior OEM,5,dashboard_01_808469b7.jpg; dashboard_02_ea8d48f3.jpg; dashboard_03_1a42f42a.jpg; dashboard_04_984052af.jpg; dashboard_05_c927574a.jpg,SUCCESS,dashboards/CHEVROLET/AVEO_2011-2013
CHEVROLET,AVEO SONIC,,FEA243 (22-181), CHEVROLET AVEO SONIC dashboard interior OEM,5,dashboard_01_04c3fe6d.jpg; dashboard_02_727917d7.jpg; dashboard_03_8238f9fe.jpg; dashboard_04_018593b8.jpg; dashboard_05_a4bd3e02.jpg,SUCCESS,dashboards/CHEVROLET/AVEO_SONIC_
CHEVROLET,CAPTIVA,2017,FEA216,2017 CHEVROLET CAPTIVA dashboard interior OEM,5,dashboard_01_7a415f04.jpg; dashboard_02_b2b342c7.jpg; dashboard_03_d54fa8a2.jpg; dashboard_04_a2e01024.png; dashboard_05_7cbaa590.jpg,SUCCESS,dashboards/CHEVROLET/CAPTIVA_2017
CHEVROLET,CAPTIVA AVEO,2011,FEA018 (22-945),2011 CHEVROLET CAPTIVA AVEO dashboard interior OEM,5,dashboard_01_a2e01024.png; dashboard_02_7cbaa590.jpg; dashboard_03_81d44bbe.jpg; dashboard_04_168947ef.png; dashboard_05_b81158be.jpg,SUCCESS,dashboards/CHEVROLET/CAPTIVA_AVEO_2011
