make,model,year_range,images_found,images_validated,images_saved,queries_tried,status,errors
ALFA,MITO,2008,23,5,5,1,SUCCESS,
AUDI,A3,1996-1999,23,5,5,1,SUCCESS,
AUDI,A3,2002-2008,23,5,5,1,SUCCESS,
AUDI,A3,2003-2008,23,5,5,1,SUCCESS,
AUDI,A3,2012,23,5,5,1,SUCCESS,
AUDI,A4,2002-2008,32,5,5,1,SUCCESS,
AUDI,A4,2008,33,5,5,1,SUCCESS,
AUDI,A4 A6 TT,1999-2002,33,5,5,1,SUCCESS,
AUDI,A4 B6 2000-2006,2004-2006,34,5,5,1,SUCCESS,
AUDI,TT,2006,23,5,5,1,SUCCESS,
BMW,1 SERIES E81/E82/E87/E88,2004-2011,23,5,5,1,SUCCESS,
BMW,1 SERIES E81/E82/E87/E88,2012,30,5,5,1,SUCCESS,
BMW,E46,1998-2005,37,5,5,1,SUCCESS,
BMW,E46,2005,23,5,5,1,SUCCESS,
BMW,E90,2004-2012,23,5,5,1,SUCCESS,
BMW,E90,2012,37,5,5,1,SUCCESS,
BMW,X5 / 5-SERIES 1995-2003,1999-2006,30,5,5,1,SUCCESS,
CHEVROLET,AVEO,2011-2013,36,5,5,1,SUCCESS,
CHEVROLET,AVEO SONIC,,23,5,5,1,SUCCESS,
CHEVROLET,CAPTIVA,2017,23,5,5,1,SUCCESS,
CHEVROLET,CAPTIVA AVEO,2011,23,5,5,1,SUCCESS,
CHEVROLET,CLASSIC CRUZE,,23,5,5,1,SUCCESS,
CHEVROLET,CRUZE,,36,5,5,1,SUCCESS,
CHEVROLET,SPARK,2015,30,5,5,1,SUCCESS,
CHEVROLET,"SPARK , DAEWOO MATIZ -2011",2010-2013,23,5,5,1,SUCCESS,
CHEVROLET,"SPARK , DAEWOO MATIZ -2011",2014,23,5,5,1,SUCCESS,
CHRYSLER,NEON,,22,5,5,1,SUCCESS,
DAIHATSU,SIRION,2008,23,5,5,1,SUCCESS,
DAIHATSU,TERIOS,,23,5,5,1,SUCCESS,
DAIHATSU,TERIOS O6-2016/ TOYOTA RUSH,2006-2026,37,5,5,1,SUCCESS,
FIAT,500,2007-2015,34,5,5,1,SUCCESS,
FIAT,500,2015,34,5,5,1,SUCCESS,
FORD,BANTAM FIESTA/IKON 1995-2004,2005-2011,30,5,5,1,SUCCESS,
FORD,FIESTA,,23,5,5,1,SUCCESS,
FORD,FIESTA,2014,23,5,5,1,SUCCESS,
FORD,FIESTA 3 SLOT,2001-2005,30,5,5,1,SUCCESS,
FORD,FIESTA/FOCUS/KUGA,2006-2008,37,5,5,1,SUCCESS,
FORD,FIGO,,23,5,5,1,SUCCESS,
FORD,FIGO,2019-2021,34,5,5,1,SUCCESS,
FORD,FIGO +,,36,5,5,1,SUCCESS,
FORD,FIGO ASPIRE,,34,5,5,1,SUCCESS,
FORD,FIGO ASPIRE/FREESTYLE,,23,5,5,1,SUCCESS,
FORD,FIGO POCKET,,23,5,5,1,SUCCESS,
FORD,FOCUS,2008,23,5,5,1,SUCCESS,
FORD,FOCUS,2018,23,5,5,1,SUCCESS,
FORD,FOCUS - (),2008,23,5,5,1,SUCCESS,
FORD,FOCUS/FIESTA,2011,36,5,5,1,SUCCESS,
FORD,KA,1996-2008,34,5,5,1,SUCCESS,
FORD,KUGA,,23,5,5,1,SUCCESS,
FORD,KUGA CMAX 2010+,2011,23,5,5,1,SUCCESS,
FORD,KUGA/ESCAPE,,23,5,5,1,SUCCESS,
FORD,RANGER,,23,5,5,1,SUCCESS,
FORD,RANGER,2015+,23,5,5,1,SUCCESS,
FORD,RANGER T6 & SWITCHES,2012-2015,23,5,5,1,SUCCESS,
FORD,RANGER T7,2015+,23,5,5,1,SUCCESS,
FORD,RANGER T7 +,,23,5,5,1,SUCCESS,
FORD,RANGER/EVEREST,2015+,23,5,5,1,SUCCESS,
FORD,RANGER/TRANSIT/TOURNEO,,23,5,5,1,SUCCESS,
FORD,TRANSIT,,23,5,5,1,SUCCESS,
FOTON,TAXI,,32,5,5,1,SUCCESS,
GWM,P SERIES +,,36,5,5,1,SUCCESS,
